frame_timestamp,Frame Number,X,Y,Z,velocity,snr,target_id
22:21:18:643,10,-0.73561895,0.48279208,0.097181246,-0.13916,5.64,0
22:21:18:643,10,-0.72581667,0.4974069,0.097181246,-0.13916,5.3599997,0
22:21:18:643,10,-0.71572405,0.51182276,0.097181246,-0.13916,5.0,0
22:21:18:643,10,-0.06002625,0.12750368,0.21011584,-4.0356402,7.0,0
22:21:18:702,11,-0.48372522,1.6822046,0.26454285,-0.55664,5.64,0
22:21:18:702,11,-0.43618426,1.6396576,0.18739158,-0.13916,6.24,0
22:21:18:761,12,-0.40196398,0.52875775,0.484277,0.41748002,5.3599997,0
22:21:18:806,13,-0.81261027,0.32531753,0.13229011,0.13916,8.12,0
22:21:18:806,13,-0.8059418,0.3415036,0.13229011,0.13916,7.7599998,0
22:21:18:806,13,-0.79533565,0.3655245,0.13229011,0.13916,7.24,0
22:21:18:806,13,-0.7878666,0.38135704,0.13229011,0.13916,6.64,0
22:21:18:806,13,-0.7760731,0.40481788,0.13229011,0.13916,6.0,0
22:21:18:806,13,-0.767822,0.4202574,0.13229011,0.13916,5.3599997,0
22:21:18:867,14,-0.33829802,1.6688768,0.11939245,-0.13916,5.8799996,255
22:21:18:867,14,0.13140556,0.12017707,0.17971939,4.45312,5.3599997,255
22:21:20:743,48,0.42088452,0.24705385,0.29254335,-0.27832,12.5199995,1
22:21:20:743,48,0.4649015,0.27917922,0.32506245,-0.27832,22.0,1
22:21:20:743,48,0.4454619,0.19935669,0.29254335,-0.27832,13.639999,1
22:21:20:743,48,0.4949794,0.22151718,0.32506245,-0.27832,23.359999,1
22:21:20:743,48,0.4566145,0.1722863,0.29254335,-0.27832,14.639999,1
22:21:20:743,48,0.5073717,0.19143763,0.32506245,-0.27832,24.88,1
22:21:20:743,48,0.4646546,0.14924975,0.29254335,-0.27832,15.759999,1
22:21:20:743,48,0.51630557,0.16584034,0.32506245,-0.27832,26.24,1
22:21:20:743,48,0.5210815,0.2586862,0.38115066,-0.27832,16.88,1
22:21:20:743,48,0.3927381,0.15722738,0.27716312,-0.27832,5.0,1
22:21:20:743,48,-0.4646546,0.14924975,0.29254335,-0.27832,16.88,1
22:21:20:743,48,-0.51630557,0.16584034,0.32506245,-0.27832,27.519999,1
22:21:20:743,48,0.54008776,0.21621682,0.38115066,-0.27832,17.64,1
22:21:20:743,48,0.4001054,0.13740215,0.27716312,-0.27832,5.24,1
22:21:20:743,48,-0.45831454,0.16771157,0.29254335,-0.27832,17.88,1
22:21:20:743,48,-0.5092608,0.18635438,0.32506245,-0.27832,28.76,1
22:21:20:743,48,0.5502191,0.18895343,0.38115066,-0.27832,18.119999,1
22:21:20:743,48,-0.4040468,0.12533896,0.27716312,-0.27832,5.64,1
22:21:20:743,48,-0.45307767,0.18138352,0.29254335,-0.27832,18.88,1
22:21:20:743,48,-0.5034418,0.2015461,0.32506245,-0.27832,29.88,1
22:21:20:743,48,-0.55733514,0.1667994,0.38115066,-0.27832,18.76,1
22:21:20:743,48,-0.4001054,0.13740215,0.27716312,-0.27832,5.8799996,1
22:21:20:743,48,-0.4474331,0.1948922,0.29254335,-0.27832,19.76,1
22:21:20:743,48,-0.49716976,0.2165564,0.32506245,-0.27832,30.88,1
22:21:20:743,48,-0.5502191,0.18895343,0.38115066,-0.27832,19.359999,1
22:21:20:743,48,-0.39429075,0.15329221,0.27716312,-0.27832,6.24,1
22:21:20:743,48,-0.44138592,0.20822546,0.29254335,-0.27832,20.52,1
22:21:20:743,48,-0.49045038,0.23137179,0.32506245,-0.27832,31.519999,1
22:21:20:743,48,-0.4213954,0.34132156,0.32506245,0.13916,26.88,1
22:21:20:743,48,-0.43706474,0.38395166,0.38115066,0.13916,15.5199995,1
22:21:20:743,48,-0.29568547,0.31739652,0.26002425,-0.13916,6.52,1
22:21:20:743,48,-0.2892331,0.3966908,0.28764847,-0.20888,17.119999,1
22:21:20:743,48,-0.3474243,0.4666271,0.38115066,-0.20888,17.119999,1
22:21:20:743,48,-0.94748676,1.2725736,1.0394645,-0.20888,8.88,255
22:21:20:743,48,-0.30619788,0.44756824,0.32506245,-0.20888,26.359999,1
22:21:20:743,48,-0.36876333,0.51654106,0.41581318,-0.27832,6.7599998,1
22:21:20:743,48,-0.87858063,1.2570567,1.0048019,-4.0356402,5.24,255
22:21:20:743,48,-1.7121471,3.2887273,-3.2519205,3.89648,5.12,255
22:21:20:743,48,0.24330369,0.45614755,-1.2913612,-2.50488,5.0,255
22:21:20:913,51,-1.8678263,0.747759,0.75730145,-2.22656,9.36,255
22:21:20:913,51,-1.9236629,0.86089313,0.6750948,-1.32216,6.0,255
22:21:20:913,51,-1.8454847,0.7174869,0.83715206,-2.22656,9.639999,255
22:21:20:913,51,-1.9007894,0.9674412,0.59027666,-1.32216,6.24,255
22:21:20:913,51,-1.8231329,0.77252024,0.83715206,-2.22656,9.88,255
22:21:20:913,51,-1.8782321,0.9559602,0.6750948,-1.32216,6.64,255
22:21:20:913,51,-1.807319,0.80882597,0.83715206,-2.22656,10.12,255
22:21:20:913,51,-1.8587384,0.9933314,0.6750948,-1.32216,7.0,255
22:21:20:913,51,-1.7831727,0.77671146,0.91566336,-2.22656,10.36,255
22:21:20:913,51,-1.8385015,1.0303049,0.6750948,-1.32216,7.24,255
22:21:20:913,51,-1.767283,0.8122171,0.91566336,-2.22656,10.36,255
22:21:20:913,51,-1.8175291,1.0668664,0.6750948,-1.32216,7.52,255
22:21:20:913,51,-1.7421249,0.8648622,0.91566336,-2.22656,10.36,255
22:21:20:913,51,-1.7958297,1.1030012,0.6750948,-1.32216,7.64,255
22:21:20:913,51,-1.8406379,1.2345337,0.51893383,-1.32216,5.12,255
22:21:20:913,51,-1.7154846,0.80928624,1.0117279,1.53076,10.36,255
22:21:20:913,51,-1.7734121,1.1386946,0.6750948,-1.32216,7.7599998,255
22:21:20:913,51,-1.815581,1.2710971,0.51893383,-1.32216,5.24,255
22:21:20:913,51,-1.7897977,1.307152,0.51893383,-1.32216,5.24,255
22:21:20:913,51,-1.7019402,1.2429866,0.6750948,-1.32216,7.7599998,255
22:21:20:913,51,-1.7497836,1.3602496,0.51893383,-1.32216,5.24,255
22:21:20:913,51,-0.25905514,0.34793806,0.26002425,-0.20888,7.3599997,1
22:21:20:913,51,-0.3840913,0.5052474,0.41581318,-0.27832,9.88,1
22:21:20:913,51,-0.3790197,0.509063,0.41581318,-0.27832,11.88,1
22:21:20:913,51,-0.36876333,0.51654106,0.41581318,-0.27832,13.759999,1
22:21:20:913,51,-0.27313834,0.4079397,0.28764847,-0.20888,28.88,1
22:21:20:913,51,-0.36357954,0.5202028,0.41581318,-0.27832,15.5199995,1
22:21:20:913,51,-0.35310346,0.52736986,0.41581318,-0.27832,16.52,1
22:21:20:913,51,-0.2897673,0.46218598,0.31962347,-0.20888,61.359997,1
22:21:20:913,51,-0.3168719,0.50541854,0.35758156,-0.20888,43.76,1
22:21:20:913,51,-0.3478122,0.5308745,0.41581318,-0.27832,16.64,1
22:21:20:913,51,-0.34015778,0.5548114,0.39010066,-0.27832,16.0,1
22:21:20:913,51,-0.32899424,0.5615032,0.39010066,-0.27832,14.88,1
22:21:20:913,51,-0.32336286,0.564765,0.39010066,-0.27832,13.36,1
22:21:20:967,52,-0.77767533,0.532946,0.104124725,0.13916,7.0,1
22:21:20:967,52,-0.39900813,0.5141163,0.39010066,-0.34804,7.7599998,1
22:21:20:967,52,-0.3610157,0.47489297,0.35758156,-0.13916,12.36,1
22:21:20:967,52,-0.3938471,0.5180806,0.39010066,-0.34804,8.36,1
22:21:20:967,52,-0.3514463,0.48201782,0.35758156,-0.13916,14.24,1
22:21:20:967,52,-0.38340744,0.52585334,0.39010066,-0.13916,8.88,1
22:21:20:967,52,-0.5092834,0.5466781,0.68221086,-0.27832,5.52,1
22:21:20:967,52,-1.0866121,1.5547043,1.0117279,-0.20888,8.88,255
22:21:20:967,52,-0.34866896,0.4883941,0.35159844,-0.13916,16.24,1
22:21:20:967,52,-0.37812984,0.5296611,0.39010066,-0.13916,9.0,1
22:21:20:967,52,-0.308018,0.4502287,0.31962347,-0.13916,18.88,1
22:21:20:967,52,-0.33883196,0.49526933,0.35159844,-0.13916,18.0,1
22:21:20:967,52,-0.36746165,0.53711724,0.39010066,-0.13916,8.5199995,1
22:21:20:967,52,-0.30350038,0.4532863,0.31962347,-0.13916,19.76,1
22:21:20:967,52,-0.33386242,0.49863282,0.35159844,-0.13916,18.88,1
22:21:20:967,52,-0.36207223,0.5407649,0.39010066,-0.13916,7.7599998,1
22:21:20:967,52,-0.26668066,0.42536223,0.26778612,-0.13916,10.88,1
22:21:20:967,52,-0.29437456,0.45926523,0.31962347,-0.13916,20.0,1
22:21:20:967,52,-0.32382363,0.50520986,0.35159844,-0.13916,18.64,1
22:21:20:967,52,-0.35327277,0.5511546,0.38357344,-0.13916,6.64,1
22:21:20:967,52,-0.2868133,0.47847703,0.2975532,-0.13916,19.359999,1
22:21:20:967,52,-0.31875548,0.50842285,0.35159844,-0.13916,16.88,1
22:21:20:967,52,-0.94651794,1.5790311,0.98196095,-0.20888,11.12,255
22:21:20:967,52,-0.28201428,0.48132122,0.2975532,-0.13916,17.88,1
22:21:20:967,52,-0.31022686,0.5294724,0.3273203,-0.13916,14.5199995,1
22:21:20:967,52,-0.27718702,0.48411724,0.2975532,-0.13916,16.0,1
22:21:20:967,52,-0.3049167,0.5325481,0.3273203,-0.13916,12.0,1
22:21:20:967,52,-0.2942055,0.5385395,0.3273203,-0.13916,9.88,1
22:21:20:967,52,-0.4612968,0.73577976,0.63318336,-0.27832,15.5199995,1
22:21:20:967,52,-0.4894032,0.8164482,0.62365127,-0.27832,6.24,1
22:21:20:967,52,-0.28880548,0.5414546,0.3273203,-0.13916,8.24,1
22:21:20:967,52,-0.44648987,0.7448579,0.63318336,-0.27832,15.639999,1
22:21:20:967,52,-0.4390191,0.7492855,0.63318336,-0.27832,14.88,1
22:21:20:967,52,-0.42394662,0.75791544,0.63318336,-0.27832,13.5199995,1
22:21:20:967,52,-0.41513407,0.79739803,0.5889888,-0.27832,12.0,1
22:21:20:967,52,-0.28860384,0.32249215,0.7722527,-0.48720002,15.12,1
22:21:21:013,53,-1.9553578,0.7602033,-0.46913913,2.7832,9.12,255
22:21:21:013,53,-1.9316752,0.81851315,-0.46913913,2.7832,8.639999,255
22:21:21:013,53,-1.9128563,0.81053895,-0.5526589,2.7832,8.12,255
22:21:21:013,53,-1.8876832,0.86755127,-0.5526589,2.7832,7.52,255
22:21:21:013,53,-1.8699557,0.9051289,-0.5526589,2.7832,7.0,255
22:21:21:013,53,-1.8485672,0.8947761,-0.6352945,2.7832,6.3599997,255
22:21:21:013,53,-1.8208963,0.9498221,-0.6352945,2.7832,5.7599998,255
22:21:21:013,53,-1.8015369,0.9860478,-0.6352945,2.7832,5.24,255
22:21:21:013,53,0.48438,0.21098545,0.78772676,-0.34804,9.24,1
22:21:21:013,53,-0.29145303,0.3914518,0.29254335,-0.20888,9.24,1
22:21:21:013,53,-0.3169604,0.4439787,0.31962347,-0.20888,14.88,1
22:21:21:013,53,-0.44167283,0.21926449,0.7351978,-0.34804,6.7599998,1
22:21:21:013,53,-0.33386242,0.49863282,0.35159844,-0.20888,17.119999,1
22:21:21:013,53,-0.36126748,0.5636275,0.3570874,-0.34804,13.759999,1
22:21:21:013,53,-0.7982117,1.7874177,-0.09795917,0.20888,5.8799996,255
22:21:21:013,53,-0.71241814,1.8927014,0.060688395,-0.97412,8.0,255
22:21:21:013,53,-0.66394854,1.9383953,0.3940541,-0.90468,6.24,255
22:21:21:013,53,-0.8417595,0.28907275,0.8982417,-0.27832,5.64,255
22:21:21:078,54,0.82767415,0.4006254,0.67044675,0.41748002,7.12,1
22:21:21:078,54,0.85704285,0.3332008,0.67044675,0.41748002,7.8799996,1
