frame_timestamp,Frame Number,X,Y,Z,velocity,snr,target_id
1731726982.6997972,2,0.8191241,0.4483369,0.8526371,-0.27832,9.5199995,255
1731726982.6997972,2,0.85979086,0.36432114,0.8526371,-0.27832,10.0,255
1731726982.6997972,2,0.8831669,0.30329266,0.8526371,-0.27832,10.639999,255
1731726982.6997972,2,-1.2705142,0.90855986,0.8331255,4.10536,6.12,255
1731726982.6997972,2,-0.8918669,0.27666515,0.8526371,-0.27832,10.88,255
1731726982.6997972,2,0.7101669,0.37043965,0.80838203,-0.27832,8.0,0
1731726982.6997972,2,0.7682444,0.35307378,0.8533119,-0.27832,15.88,0
1731726982.6997972,2,-0.8800899,0.31210902,0.8526371,-0.27832,10.36,0
1731726982.6997972,2,-1.2821748,0.84150064,1.0048019,-0.20888,7.0,255
1731726982.6997972,2,0.70227194,0.28114507,0.76345223,-0.27832,6.52,0
1731726982.6997972,2,0.7436012,0.2976907,0.80838203,-0.27832,9.24,0
1731726982.6997972,2,-0.82679826,0.32144234,0.80998844,-0.27832,15.759999,0
1731726982.6997972,2,-0.86690485,0.34705362,0.8526371,-0.27832,9.24,0
1731726982.6997972,2,0.71786684,0.23852807,0.76345223,-0.27832,7.0,0
1731726982.6997972,2,0.7626015,0.24495201,0.80838203,-0.27832,10.0,0
1731726982.6997972,2,-0.8132826,0.35424832,0.80998844,-0.27832,14.12,0
1731726982.6997972,2,-0.852333,0.38144293,0.8526371,-0.27832,8.0,0
1731726982.6997972,2,-0.72021616,0.23133759,0.76345223,-0.27832,6.7599998,0
1731726982.6997972,2,-0.7601139,0.25256565,0.80838203,-0.27832,10.12,0
1731726982.6997972,2,-0.80229086,0.37848368,0.80998844,-0.27832,12.12,0
1731726982.6997972,2,-0.8405079,0.40683743,0.8526371,-0.27832,6.8799996,0
1731726982.6997972,2,-0.707754,0.26704434,0.76345223,-0.27832,5.8799996,0
1731726982.6997972,2,-0.7494059,0.2827601,0.80838203,-0.27832,9.639999,0
1731726982.6997972,2,-0.790577,0.40237847,0.80998844,-0.27832,10.24,0
1731726982.6997972,2,-0.8354447,0.43578753,0.8432566,-0.27832,6.0,0
1731726982.6997972,2,-0.73749906,0.31250218,0.80838203,-0.27832,8.76,0
1731726982.6997972,2,-0.77815175,0.42591122,0.80998844,-0.27832,8.76,0
1731726982.6997972,2,-0.8219971,0.46065107,0.8432566,-0.27832,5.24,0
1731726982.6997972,2,-0.44293502,0.25999722,0.46896726,-0.20888,5.8799996,0
1731726982.6997972,2,-0.72441244,0.34174427,0.80838203,-0.27832,7.8799996,0
1731726982.6997972,2,-0.76502615,0.44906062,0.80998844,-0.27832,7.52,0
